Datum,Volume,WD,W_change
2016-06-10,46693.794471815614,6.8362,468.9103755318574
2016-06-11,47162.70484734747,6.865499999999997,2262.1183222244654
2016-06-12,49424.82316957194,7.004833333333332,1483.95765937557
2016-06-13,50908.78082894751,7.0945,-198.48952511287644
2016-06-14,50710.29130383463,7.082583333333332,320.83074560397654
2016-06-15,51031.12204943861,7.1018333333333326,504.8204883213766
2016-06-16,51535.942537759984,7.131999999999999,583.211073351129
2016-06-17,52119.15361111111,7.166666666666665,964.688514528505
2016-06-18,53083.84212563962,7.223583333333331,-1154.3134204816233
2016-06-19,51929.528705157994,7.1554166666666665,-2130.2897265650245
2016-06-20,49799.23897859297,7.027583333333332,-2474.6175778533143
2016-06-21,47324.621400739656,6.875583333333334,-2331.562976068555
2016-06-22,44993.0584246711,6.7286666666666655,-905.4324051231088
2016-06-23,44087.62601954799,6.670583333333332,-500.0144708661319
2016-06-24,43587.61154868186,6.6382499999999975,1378.0316361077857
2016-06-25,44965.643184789646,6.726916666666668,819.5290898003514
2016-06-26,45785.17227459,6.779,348.4068323999745
2016-06-27,46133.57910698997,6.8009999999999975,251.56980064863455
2016-06-28,46385.148907638606,6.816833333333332,-1365.9729122841745
2016-06-29,45019.17599535443,6.730333333333332,-2060.1996665366605
2016-06-30,42958.97632881777,6.597333333333332,-270.00601306333556
2016-07-01,42688.970315754435,6.579666666666665,352.96254698244593
2016-07-02,43041.93286273688,6.60275,-686.7317202750273
2016-07-03,42355.201142461854,6.557749999999999,-617.0760683518529
2016-07-04,41738.12507411,6.517,-1330.6325786286834
2016-07-05,40407.49249548132,6.4280833333333325,-1885.8436242338357
2016-07-06,38521.64887124748,6.299499999999997,-2260.964886424488
2016-07-07,36260.683984822994,6.141083333333333,-2305.454806188558
2016-07-08,33955.229178634436,5.974333333333332,-2407.3190749944515
2016-07-09,31547.910103639984,5.794,-2383.116362112498
2016-07-10,29164.793741527486,5.608499999999999,-2176.7420216156206
2016-07-11,26988.051719911866,5.432249999999999,-1177.3754018805485
2016-07-12,25810.676318031317,5.333916666666667,123.46458820311454
2016-07-13,25934.140906234432,5.344333333333332,1186.256929604162
2016-07-14,27120.397835838594,5.4431666666666665,422.44431805334534
2016-07-15,27542.84215389194,5.477833333333333,-709.95441496063
2016-07-16,26832.88773893131,5.419416666666666,-1319.272334384441
2016-07-17,25513.61540454687,5.30875,-1551.4681170749245
2016-07-18,23962.147287471944,5.174833333333333,-1526.122569675088
2016-07-19,22436.024717796856,5.0387499999999985,-1487.6985705693623
2016-07-20,20948.326147227493,4.9015,-1367.4166108178433
2016-07-21,19580.90953640965,4.7709166666666665,-1100.5526431666694
2016-07-22,18480.35689324298,4.662416666666666,-1165.0533219950012
2016-07-23,17315.30357124798,4.543916666666666,-1083.6400202479817
2016-07-24,16231.663550999998,4.43,-935.5054958725032
2016-07-25,15296.158055127495,4.3285,-835.2678783555457
2016-07-26,14460.890176771949,4.235166666666667,-704.0720430708461
2016-07-27,13756.818133701103,4.154333333333333,-598.0175562611021
2016-07-28,13158.80057744,4.0840000000000005,-563.8929262480597
2016-07-29,12594.907651191941,4.016166666666666,-528.48503456666
2016-07-30,12066.422616625281,3.951166666666667,-356.4385597977762
2016-07-31,11709.984056827505,3.9065000000000007,-301.53036748889645
2016-08-01,11408.453689338608,3.8681666666666654,-276.93056365110897
2016-08-02,11131.5231256875,3.8325,-283.5915956400004
2016-08-03,10847.9315300475,3.7955,-336.72118093784957
2016-08-04,10511.21034910965,3.7509166666666665,-244.48791084500044
2016-08-05,10266.72243826465,3.718083333333333,-146.25142648277688
2016-08-06,10120.471011781872,3.69825,-60.51757278187142
2016-08-07,10059.953439,3.69,-55.462409723686505
2016-08-08,10004.491029276314,3.6824166666666662,-115.8965572488105
2016-08-09,9888.594472027504,3.666500000000001,2141.0010531404823
2016-08-10,12029.595525167986,3.9465833333333333,5677.108590797279
2016-08-11,17706.704115965265,4.5841666666666665,2292.4291423058385
2016-08-12,19999.133258271104,4.811333333333333,118.94990836575744
2016-08-13,20118.08316663686,4.822749999999999,-630.5488473982514
2016-08-14,19487.53431923861,4.761833333333334,-874.5109392708328
2016-08-15,18613.023379967777,4.675666666666666,-932.3881671402851
2016-08-16,17680.635212827492,4.581499999999999,-936.5670067263854
2016-08-17,16744.068206101107,4.484333333333333,-996.7480065425061
2016-08-18,15747.3201995586,4.377833333333332,-916.4983194533252
2016-08-19,14830.821880105275,4.276833333333333,-909.4026021373011
2016-08-20,13921.419277967974,4.173416666666665,-743.6981320460945
2016-08-21,13177.72114592188,4.0862500000000015,-848.5062327007709
2016-08-22,12329.214913221109,3.9836666666666662,-779.6755656624973
2016-08-23,11549.539347558612,3.8861666666666665,-699.7042724267358
2016-08-24,10849.835075131876,3.79575,-674.1859036499955
2016-08-25,10175.64917148188,3.705750000000001,-655.503245994998
2016-08-26,9520.145925486882,3.6152500000000014,-598.6268435250095
2016-08-27,8921.519081961873,3.52975,-579.1071429965905
2016-08-28,8342.411938965282,3.444166666666668,-453.32647021528464
2016-08-29,7889.085468749998,3.375,-441.7568453603453
2016-08-30,7447.328623389652,3.3055833333333333,-482.1060166385414
2016-08-31,6965.222606751111,3.2273333333333336,-467.72480021333286
2016-09-01,6497.497806537778,3.1486666666666667,-443.2335098666663
2016-09-02,6054.264296671112,3.071333333333333,-426.8113290311094
2016-09-03,5627.4529676400025,2.994,-381.3097847781255
2016-09-04,5246.143182861877,2.9222500000000005,-228.54014353722687
2016-09-05,5017.60303932465,2.8779166666666662,-351.4981933649997
2016-09-06,4666.10484595965,2.807583333333333,-322.99231059333033
2016-09-07,4343.11253536632,2.740416666666667,-273.87952329521113
2016-09-08,4069.233012071109,2.6813333333333333,-270.14745957812374
2016-09-09,3799.0855524929852,2.6209166666666666,-253.08275566770635
2016-09-10,3546.002796825279,2.5621666666666667,-239.53765898562597
2016-09-11,3306.465137839653,2.5044166666666667,-231.03126721215176
2016-09-12,3075.433870627501,2.4465000000000003,-218.068470844516
2016-09-13,2857.365399782985,2.3895833333333334,-204.97456709104017
2016-09-14,2652.390832691945,2.3338333333333336,-187.23801608506892
2016-09-15,2465.152816606876,2.2807500000000003,-183.358445379376
2016-09-16,2281.7943712275,2.2265,123.32755557937571
2016-09-17,2405.1219268068758,2.26325,151.6540177031252
2016-09-18,2556.775944510001,2.3070000000000004,219.2986914018711
2016-09-19,2776.074635911872,2.36775,173.75037812812934
2016-09-20,2949.8250140400014,2.414,110.31767086131867
2016-09-21,3060.14268490132,2.4425833333333333,28.338141403956797
2016-09-22,3088.480826305277,2.4498333333333333,-28.338141403956797
2016-09-23,3060.14268490132,2.4425833333333333,-69.41195409687498
2016-09-24,2990.730730804445,2.424666666666667,-93.48998899916796
2016-09-25,2897.240741805277,2.400166666666667,-118.70331957895633
2016-09-26,2778.537422226321,2.368416666666667,-141.42234094333526
2016-09-27,2637.1150812829856,2.3295833333333333,-144.2394822361125
2016-09-28,2492.875599046873,2.28875,-140.2216045349992
2016-09-29,2352.653994511874,2.24775,-145.8871884388882
2016-09-30,2206.7668060729857,2.203583333333333,-142.61080027611024
2016-10-01,2064.1560057968754,2.15875,-126.33713760937553
2016-10-02,1937.8188681875,2.1175,-124.07440336284685
2016-10-03,1813.744464824653,2.075416666666667,-145.22040417666813
2016-10-04,1668.524060647985,2.0239166666666666,-137.2853712302085
2016-10-05,1531.2386894177764,1.9726666666666663,-137.87331393590193
2016-10-06,1393.3653754818745,1.91825,-91.45735556999989
2016-10-07,1301.9080199118746,1.88025,-120.20050598555372
2016-10-08,1181.7075139263209,1.8275833333333336,-89.34942516166848
2016-10-09,1092.3580887646524,1.7860833333333332,-98.26373173020784
2016-10-10,994.0943570344446,1.737666666666667,-102.60680425666806
2016-10-11,891.4875527777765,1.6833333333333331,-91.44385381249958
2016-10-12,800.0436989652769,1.6308333333333331,-83.4937751839567
2016-10-13,716.5499237813202,1.5785833333333337,-42.50294878132024
2016-10-14,674.046975,1.55,23.39101275131941
2016-10-15,697.4379877513194,1.5659166666666666,-48.539209650208136
2016-10-16,648.8987781011112,1.532333333333333,-36.115324969167546
2016-10-17,612.7834531319437,1.5058333333333331,-24.707056726666337
2016-10-18,588.0763964052774,1.4868333333333332,-19.831971815277484
2016-10-19,568.2444245899999,1.471,-15.768450229999303
2016-10-20,552.4759743600006,1.4580000000000002,-26.666852800347897
2016-10-21,525.8091215596527,1.4350833333333333,-20.114814220000483
2016-10-22,505.6943073396522,1.4169166666666664,-18.433485092152353
2016-10-23,487.26082224749985,1.3994999999999995,-10.291298999513856
2016-10-24,476.969523247986,1.3894166666666663,-1.590626922708907
2016-10-25,475.3788963252771,1.387833333333333,4.200639034722371
2016-10-26,479.57953535999945,1.3919999999999997,11.405763746319735
2016-10-27,490.9852991063192,1.4030833333333332,38.993608690556016
2016-10-28,529.9789077968752,1.43875,49.767954115000066
2016-10-29,579.7468619118753,1.48025,50.28559549256852
2016-10-30,630.0324574044438,1.5186666666666664,35.974109235209426
2016-10-31,666.0065666396532,1.5444166666666668,30.313609032291083
2016-11-01,696.3201756719443,1.5651666666666666,15.789928962499516
2016-11-02,712.1101046344438,1.5756666666666663,-15.169112944790527
2016-11-03,696.9409916896533,1.5655833333333335,-20.114139775000808
2016-11-04,676.8268519146525,1.5519166666666668,-7.470526457776941
2016-11-05,669.3563254568755,1.5467500000000003,18.076959675069247
2016-11-06,687.4332851319448,1.5591666666666668,-43.646545794166286
2016-11-07,643.7867393377785,1.5286666666666668,-41.52708057916823
2016-11-08,602.2596587586103,1.4978333333333331,-43.77381544860975
2016-11-09,558.4858433100005,1.463,-8.790981075556374
2016-11-10,549.6948622344441,1.4556666666666669,-33.502467006944244
2016-11-11,516.1923952274999,1.4265,-47.51736193784711
2016-11-12,468.6750332896528,1.3810833333333337,-25.94314153520861
2016-11-13,442.7318917544442,1.3536666666666666,-30.998092478124818
2016-11-14,411.73379927631936,1.3175833333333329,2.168503435555465
2016-11-15,413.9023027118748,1.32025,15.943392086736026
2016-11-16,429.84569479861085,1.3391666666666666,1.1608340488887734
2016-11-17,431.0065288474996,1.3404999999999996,13.243529423611506
2016-11-18,444.25005827111113,1.3553333333333335,15.68111230354134
2016-11-19,459.93117057465247,1.372083333333333,7.679585425346943
2016-11-20,467.6107559999994,1.38,24.5074889652783
2016-11-21,492.1182449652777,1.4041666666666668,4.652285332708232
2016-11-22,496.77053029798594,1.4085833333333333,-1.4980776727082343
2016-11-23,495.2724526252777,1.407166666666667,-28.96715228750071
2016-11-24,466.305300337777,1.3786666666666665,-51.311423294790984
2016-11-25,414.993877042986,1.3215833333333329,-41.865034806111
2016-11-26,373.128842236875,1.2652500000000002,-35.506197104999956
2016-11-27,337.62264513187506,1.2042499999999998,-32.896426944375264
2016-11-28,304.7262181874998,1.1175,-12.234992839513495
2016-11-29,292.4912253479863,1.0305833333333334,0.5776031172913463
2016-11-30,293.06882846527765,1.0008333333333332,5.755262957708283
2016-12-01,298.82409142298593,0.9544166666666666,17.396207150000237
2016-12-02,316.22029857298617,0.8910833333333333,38.64162677451401
2016-12-03,354.8619253475002,0.8095000000000002,48.048148412152784
2016-12-04,402.91007375965296,0.7390833333333333,484.8045430372222
2016-12-05,887.7146167968751,1.68125,-489.2824105790978
2016-12-06,398.4322062177773,1.3006666666666666,-15.419079129999318
2016-12-07,383.013127087778,1.2796666666666665,2.724243439721704
2016-12-08,385.7373705274997,1.2835,141.4891214936115
2016-12-09,527.2264920211112,1.4363333333333337,392.7059014375004
2016-12-10,919.9323934586116,1.6988333333333336,217.22706849999895
2016-12-11,1137.1594619586106,1.8071666666666664,-13.052163768958053
2016-12-12,1124.1072981896525,1.8010833333333334,-218.3268514977085
2016-12-13,905.780446691944,1.6911666666666667,-79.66912777006928
2016-12-14,826.1113189218747,1.6462500000000002,-135.60351112499984
2016-12-15,690.5078077968749,1.56125,-304.35234112888884
2016-12-16,386.15546666798605,1.2840833333333332,-89.80154770270838
2016-12-17,296.35391896527767,0.9691666666666666,35.24231786000013
2016-12-18,331.5962368252778,0.8538333333333333,-38.02960722000006
2016-12-19,293.56662960527774,1.0518333333333332,59.08529930659756
2016-12-20,352.6519289118753,1.2322500000000003,39.331706329443875
2016-12-21,391.9836352413192,1.2920833333333337,-21.82318533444402
2016-12-22,370.16044990687516,1.26075,-37.22656516555577
2016-12-23,332.9338847413194,1.1945833333333329,17.43919659055524
2016-12-24,350.37308133187463,1.2282499999999998,85.76949508923593
2016-12-25,436.14257642111056,1.3463333333333332,71.08773744000064
2016-12-26,507.2303138611112,1.4183333333333337,48.84334392888877
2016-12-27,556.07365779,1.461,-6.6758851320132635
2016-12-28,549.3977726579867,1.4554166666666668,18.3340542233326
2016-12-29,567.7318268813193,1.4705833333333338,-84.84269829444418
2016-12-30,482.88912858687513,1.39525,-82.73305363722272
2016-12-31,400.1560749496524,1.3029166666666665,-50.9990247183332
2017-01-01,349.1570502313192,1.2260833333333334,-36.87790775833321
2017-01-02,312.279142472986,1.1430833333333337,9.050505601666657
2017-01-03,321.32964807465265,1.1679166666666665,43.848918835347035
2017-01-04,365.1785669099997,1.253,61.28540997687571
2017-01-05,426.4639768868754,1.3352500000000005,-48.1498041872224
2017-01-06,378.314172699653,1.2729166666666667,33.01520608333294
2017-01-07,411.32937878298594,1.3170833333333334,75.67291202388867
2017-01-08,487.0022908068746,1.39925,26.794560494236634
2017-01-09,513.7968513011112,1.4243333333333337,125.83477066666637
2017-01-10,639.6316219677776,1.525666666666667,-25.631095110903402
2017-01-11,614.0005268568742,1.5067499999999996,91.68194600777849
2017-01-12,705.6824728646527,1.571416666666667,222.78741121999997
2017-01-13,928.4698840846527,1.7034166666666668,-13.324111412777938
2017-01-14,915.1457726718747,1.69625,-46.561861457222676
2017-01-15,868.5839112146521,1.670583333333333,46.25367649999987
2017-01-16,914.8375877146519,1.6960833333333332,13.320831492223647
2017-01-17,928.1584192068756,1.7032500000000004,-20.694387298889865
2017-01-18,907.4640319079857,1.6920833333333334,-18.694194402708945
2017-01-19,888.7698375052768,1.6818333333333328,6.19934263159837
2017-01-20,894.9691801368751,1.68525,-9.211779931597903
2017-01-21,885.7574002052772,1.6801666666666666,-28.67805990395709
2017-01-22,857.0793403013201,1.6640833333333338,1.6154124486795354
2017-01-23,858.6947527499997,1.665,1.1762946844444286
2017-01-24,859.8710474344441,1.6656666666666666,-87.5450093944446
2017-01-25,772.3260380399995,1.614,-22.59171500534694
2017-01-26,749.7343230346526,1.5999166666666669,-37.49769060277731
2017-01-27,712.2366324318753,1.57575,17.51457039340164
2017-01-28,729.7512028252769,1.5871666666666666,18.399684031042057
2017-01-29,748.150886856319,1.5989166666666668,34.238833548959065
2017-01-30,782.389720405278,1.6201666666666668,120.48815021104076
2017-01-31,902.8778706163188,1.6895833333333332,145.39000677055617
2017-02-01,1048.267877386875,1.7647500000000005,214.9706259675695
2017-02-02,1263.2385033544444,1.8636666666666668,426.67358384000204
2017-02-03,1689.9120871944465,2.0316666666666667,484.29945263305126
2017-02-04,2174.2115398274977,2.1935,351.8131229543751
2017-02-05,2526.024662781873,2.29825,413.30500376500413
2017-02-06,2939.329666546877,2.4112500000000003,169.43423820312182
2017-02-07,3108.763904749999,2.455,396.5049489374983
2017-02-08,3505.268853687497,2.5525,207.31909383548827
2017-02-09,3712.5879475229854,2.601083333333333,395.45630358229073
2017-02-10,4108.044251105276,2.689833333333333,342.6832814677109
2017-02-11,4450.727532572987,2.763083333333334,199.0557765588892
2017-02-12,4649.783309131876,2.80425,376.7387352892356
2017-02-13,5026.522044421112,2.879666666666667,140.82899511187134
2017-02-14,5167.351039532983,2.907083333333333,151.64613685895893
2017-02-15,5318.997176391942,2.9361666666666664,384.0517030160436
2017-02-16,5703.048879407986,3.0079166666666666,576.9901010649974
2017-02-17,6280.038980472983,3.111083333333333,304.35266645451793
2017-02-18,6584.391646927501,3.1635000000000004,359.6599591977765
